,rmse,mae,r2,n
lgbm,42251.10520285203,26676.847064327383,0.8676640505174092,4128.0
stack,42622.53150199935,26815.133271303035,0.8653271127203345,4128.0
rf,43176.571886298145,27113.017124515503,0.8618031941720834,4128.0
ridge,65141.564201702604,45539.56971011108,0.685429454199135,4128.0
dummy,119749.7722880243,89324.08018410853,-0.06304361377601064,4128.0
